Card Category,Churn,Clientnum,Customer Age (bin),Education Level,Gender,Income,Marital Status,Balance,Credit Limit,Customer Age,Dependent count,Months on book,Utilization Ratio
Blue,Attrited Customer,708508758,60,Graduate,F,Less than $40K,Married,0,1438.3,62,0,49,0%
Blue,Attrited Customer,708300483,60,Doctorate,F,Unknown,Married,605,7882,66,0,56,8%
Blue,Retained Customers,779471883,50,Graduate,F,Less than $40K,Married,808,1438.3,54,1,40,56%
Blue,Retained Customers,714374133,50,Graduate,M,$120K +,Married,0,15769,56,2,36,0%
Silver,Attrited Customer,712030833,40,Graduate,M,$60K - $80K,Married,0,34516,48,2,35,0%
Blue,Retained Customers,711013983,50,Unknown,F,$40K - $60K,Married,0,2158,55,4,45,0%
Blue,Attrited Customer,711887583,40,Unknown,M,$80K - $120K,Married,1628,5449,47,2,37,30%
Blue,Retained Customers,720201033,50,Graduate,M,$80K - $120K,Married,2227,11669,53,2,41,19%
Blue,Attrited Customer,789322833,40,High School,F,Less than $40K,Married,0,8025,48,5,38,0%
Blue,Retained Customers,767712558,50,College,M,$60K - $80K,Single,0,14979,59,1,53,0%
Blue,Attrited Customer,712950783,40,Unknown,F,Less than $40K,Married,0,2732,48,4,38,0%
Blue,Attrited Customer,713741358,40,Graduate,M,$80K - $120K,Single,2517,32975,46,5,33,8%
Blue,Retained Customers,708953883,50,Unknown,M,$80K - $120K,Married,0,3212,53,2,36,0%
Blue,Attrited Customer,708868233,60,High School,M,Less than $40K,Married,900,1438.3,68,0,52,63%
Blue,Retained Customers,719808558,50,Graduate,F,Less than $40K,Married,0,1438.3,55,2,43,0%
Blue,Retained Customers,711551958,50,Post-Graduate,M,$60K - $80K,Married,0,1438.3,59,2,46,0%
Blue,Attrited Customer,772336458,60,Unknown,F,$40K - $60K,Married,1025,1438.3,60,1,50,71%
Blue,Retained Customers,720997383,50,Unknown,M,$80K - $120K,Married,1833,1857,52,1,36,99%
Blue,Retained Customers,710299608,50,Unknown,F,Less than $40K,Married,2517,2859,53,2,33,88%
Blue,Attrited Customer,821797008,40,College,M,$40K - $60K,Married,0,1438.3,49,5,45,0%
Blue,Attrited Customer,708874533,40,College,F,Less than $40K,Married,0,3387,45,2,36,0%
Blue,Attrited Customer,712125258,40,High School,M,$120K +,Married,0,2442,46,4,30,0%
Blue,Retained Customers,772390908,50,High School,M,$40K - $60K,Single,1054,3616,59,0,48,29%
Blue,Retained Customers,778867533,50,Post-Graduate,F,$40K - $60K,Married,0,1438.3,59,0,40,0%
Blue,Attrited Customer,771809733,60,High School,F,$40K - $60K,Married,0,3353,64,0,53,0%
Blue,Attrited Customer,719211558,40,Graduate,M,$60K - $80K,Single,0,3401,45,2,36,0%
Blue,Retained Customers,718621608,50,High School,F,Unknown,Married,0,6094,54,2,44,0%
Blue,Attrited Customer,720272958,40,High School,M,$120K +,Married,0,27126,48,2,36,0%
Blue,Retained Customers,709173108,50,Graduate,F,Unknown,Married,2221,2532,54,4,40,88%
Blue,Retained Customers,708330858,50,Graduate,M,$120K +,Married,1381,8249,57,3,38,17%
Blue,Retained Customers,709278258,50,Unknown,M,$40K - $60K,Married,2517,2902,54,2,44,87%
Blue,Retained Customers,714871683,50,Unknown,M,$40K - $60K,Married,537,1438.3,58,1,36,37%
Blue,Attrited Customer,708288108,40,Post-Graduate,M,$80K - $120K,Unknown,1547,5639,43,4,30,27%
Blue,Retained Customers,717354558,50,Unknown,M,$120K +,Married,1120,3106,57,2,40,36%
Blue,Attrited Customer,714639783,40,College,M,$60K - $80K,Married,0,13450,42,3,34,0%
Blue,Attrited Customer,778868958,40,Graduate,F,Less than $40K,Married,1673,1929,42,2,23,87%
Blue,Attrited Customer,710940183,40,Graduate,F,Less than $40K,Married,0,2185,49,3,38,0%
Blue,Attrited Customer,709547658,30,Unknown,M,$60K - $80K,Single,1299,13961,39,2,36,9%
Blue,Retained Customers,712159083,50,Unknown,F,Less than $40K,Married,0,2536,58,4,46,0%
Blue,Retained Customers,711791583,50,Graduate,F,Less than $40K,Single,0,2317,52,1,40,0%
Blue,Retained Customers,712315683,50,Unknown,F,Less than $40K,Single,1518,1981,53,2,45,77%
Blue,Retained Customers,789842283,50,Graduate,M,$60K - $80K,Married,0,4320,54,2,42,0%
Blue,Retained Customers,719418933,50,Unknown,M,$80K - $120K,Married,0,4503,53,2,36,0%
Blue,Attrited Customer,781794708,30,Post-Graduate,M,$80K - $120K,Unknown,1911,17030,35,3,29,11%
Blue,Attrited Customer,714272658,40,Unknown,F,Less than $40K,Single,2517,2962,43,2,24,85%
Blue,Retained Customers,767294658,50,College,M,$120K +,Single,0,16867,56,2,50,0%
Blue,Retained Customers,708241233,50,Post-Graduate,F,Less than $40K,Single,0,2972,52,3,47,0%
Blue,Attrited Customer,716223708,40,Unknown,F,Unknown,Single,710,4028,45,3,36,18%
Blue,Retained Customers,719443683,50,Unknown,M,$120K +,Single,2137,27512,50,1,39,8%
Blue,Retained Customers,779610033,50,College,M,$80K - $120K,Married,1799,12151,58,1,47,15%
Blue,Retained Customers,709345008,50,Doctorate,F,Unknown,Married,0,1438.3,53,2,39,0%
Blue,Attrited Customer,721417233,40,Graduate,M,$60K - $80K,Married,0,1438.3,45,2,25,0%
Blue,Attrited Customer,769137108,40,Post-Graduate,F,Less than $40K,Married,0,1438.3,43,2,37,0%
Blue,Retained Customers,717640083,50,High School,M,$60K - $80K,Married,0,6705,59,1,36,0%
Blue,Attrited Customer,794977533,60,High School,M,$60K - $80K,Married,0,8077,62,0,56,0%
Blue,Retained Customers,752604633,50,College,M,$40K - $60K,Married,0,6462,57,2,50,0%
Blue,Attrited Customer,711242058,40,Unknown,M,$80K - $120K,Single,2517,11862,48,4,36,21%
Blue,Retained Customers,718121658,50,College,M,$60K - $80K,Married,0,1704,56,1,44,0%
Blue,Retained Customers,711593808,50,High School,M,$60K - $80K,Married,0,1438.3,55,1,46,0%
Blue,Attrited Customer,718731183,60,Unknown,M,$40K - $60K,Married,788,5472,61,1,49,14%
Blue,Attrited Customer,713865333,40,Unknown,F,Less than $40K,Married,0,4908,45,4,38,0%
Blue,Attrited Customer,797707008,40,Doctorate,F,Less than $40K,Married,0,7222,44,3,38,0%
Blue,Retained Customers,720370533,50,Unknown,M,$60K - $80K,Married,0,2323,55,3,44,0%
Blue,Retained Customers,718675158,50,Unknown,F,Less than $40K,Married,361,1438.3,55,1,36,25%
Blue,Retained Customers,720605808,50,Graduate,F,Less than $40K,Single,0,1438.3,53,1,36,0%
Blue,Attrited Customer,770724558,40,College,M,$60K - $80K,Married,0,7340,42,2,28,0%
Blue,Retained Customers,719309958,50,Doctorate,M,$80K - $120K,Single,0,20865,55,3,35,0%
